Thread Code,R,G,B
D295,20,120,135
D393,-8,88,104
D2040,134,192,190
D326,97,184,184
D321,84,179,179
D30125,117,178,172
D30126,65,159,152
D2215,-114,136,119
D320,145,196,194
D221,74,178,169
D222,-89,144,130
DS223,-58,130,125
D30127,-87,115,112
D01B,142,193,192
D219,134,195,193
D30128,61,169,161
D30129,-2,151,144
D323,-59,138,137
D30130,-82,127,128
D30131,-79,118,120
D30132,-85,103,103
D1899,218,187,194
D1042,206,157,172
D1014,171,89,111
D1034,130,65,90
D1033,171,112,131
D1902,178,130,149
D1904,156,99,123
D1906,128,68,95
D1908,116,57,76
D10126,87,45,55
D60036,120,90,106
DS89,102,61,78
D199,83,53,64
D600,172,154,171
D60037,110,95,117
D654,103,84,101
D336,74,57,85
D640,109,100,124
D621,155,163,181
D683,105,115,154
D60038,79,95,132
D60039,63,82,132
D60040,53,68,125
D60041,41,63,128
D60042,49,57,96
D80016,191,179,155
D806,180,166,142
D811,167,153,134
D812,154,144,124
D080,140,125,105
D80017,141,122,104
D843,139,116,96
D844,141,121,98
D80018,146,126,104
D421,175,165,144
D40013,156,148,129
D40014,137,127,109
D70023,201,192,164
D70024,190,175,145
D70025,177,151,112
D70026,169,144,96
D70027,160,134,96
D70028,150,132,97
D720,186,168,133
D70029,184,163,130
D721,179,153,120
D722,153,129,100
D70030,147,117,85
D723,144,111,84
D724,142,111,85
D430,197,203,201
D466,192,196,193
D467,161,173,173
D40108,112,127,128
D40109,90,96,99
D434,71,79,85
D40110,180,178,167
D40111,171,168,159
D40112,147,149,144
D40113,132,134,130
D40114,124,126,124
D40115,105,108,107
D40116,158,158,154
D40117,121,124,124
D40118,101,99,99
DS486,88,85,85
D40119,68,67,68
D300,191,196,197
D40120,164,169,167
D40121,149,154,153
D40122,117,121,121
D40123,94,94,99
D40124,81,82,86
D40125,73,74,78
D40126,58,61,63
D41M33,180,178,166
D41B42,165,162,145
D41L56,113,116,108
D41A66,179,165,136
D41B83,180,156,123
D41ABU,171,157,135
D41B11,137,102,58
D41N72,157,135,108
D41N61,189,169,132
D41M89,206,202,192
D41H35,183,174,159
D41M99,167,157,144
D41Q72,144,133,120
D41N59,126,110,101
D41B49,112,101,98
D41A10,80,77,78
D41A67,209,207,198
D41M42,210,209,195
D41B60,182,171,145
D41C27,160,148,127
D41A97,107,92,78
D41AA2,74,64,54
D41A64,69,61,51
D41ABJ,69,62,62
D41C34,82,81,84
D50072,225,156,75
D50073,225,151,71
D50074,229,143,46
D50075,229,144,54
D50076,223,122,38
D50077,223,108,39
D50078,215,97,20
D50079,218,139,43
D50080,222,127,48
D50081,220,117,-12
D50082,215,107,44
D50083,206,96,41
D50084,195,93,52
D10001,216,168,145
D170,214,127,99
D171,211,107,70
D173,210,96,59
D10002,199,79,43
DT173,191,71,39
D10003,186,62,46
DS1051,182,56,39
D10004,184,55,53
D10005,181,52,45
DT1053,170,49,48
D700,170,48,51
D610,194,188,199
D60008,182,172,185
D60009,166,154,173
D602,135,119,152
D60010,87,70,112
D60011,86,69,120
D60012,70,53,100
D673,160,149,179
D603,131,108,153
D604,101,64,105
D60013,79,46,79
D671,191,182,196
D672,179,164,188
D674,145,127,161
D675,92,77,120
D60014,76,64,107
D60015,70,62,105
D60016,67,58,92
D676,131,99,158
DT9,138,97,158
D60017,110,70,135
D60018,95,55,123
D60019,71,53,107
D60020,70,55,104
D60021,63,46,93
D369,131,191,198
D30133,119,169,172
D391,105,161,167
D30134,105,159,166
DS074,29,106,114
D325,30,102,108
